이체년월,법정동시도,법정동시군_일부통합(연금일시금분류(일시금합침)),노령연금 수급자수,노령연금 금액,장애연금 수급자수,장애연금 금액,유족연금 수급자수,유족연금 금액,일시금 수급자수,일시금 금액
2022-07,전라북도,김제시,13574 ,4786292510 ,146 ,54814460 ,3015 ,619425810 ,36 ,217804310 
2022-07,전라북도,완주군,12108 ,4905721310 ,162 ,101485890 ,2386 ,509506890 ,28 ,149728190 
2022-07,전라북도,진안군,4881 ,1828994210 ,48 ,20207840 ,1073 ,217870620 ,12 ,66774400 
2022-07,전라북도,무주군,4431 ,1615332300 ,43 ,32105040 ,1091 ,219653860 ,10 ,44285080 
2022-07,전라북도,장수군,4217 ,1542238710 ,46 ,17688030 ,1037 ,201457060 ,11 ,40551110 
2022-07,전라북도,임실군,5319 ,1936167210 ,42 ,28036530 ,1264 ,254495380 ,5 ,30530090 
2022-07,전라북도,순창군,5150 ,1783713020 ,38 ,15726310 ,1418 ,265242080 ,11 ,43932620 
2022-07,전라북도,고창군,9748 ,3372478100 ,82 ,34114470 ,2458 ,481581880 ,25 ,129118550 
2022-07,전라북도,부안군,8556 ,2983551950 ,78 ,69794640 ,2021 ,413161290 ,23 ,153539580 
2022-07,전라남도,목포시,21542 ,8456228500 ,299 ,136194070 ,4275 ,972133080 ,84 ,350638170 
2022-07,전라남도,여수시,31742 ,14181450330 ,445 ,265190000 ,6765 ,1621037020 ,80 ,411760920 
2022-07,전라남도,순천시,25483 ,11680596870 ,411 ,235526930 ,5390 ,1297223170 ,84 ,356198560 
2022-07,전라남도,나주시,14491 ,5514623890 ,152 ,114624390 ,3490 ,737211820 ,29 ,129958140 
2022-07,전라남도,광양시,13836 ,7460573900 ,197 ,119744240 ,2845 ,695837800 ,56 ,292542010 
2022-07,전라남도,담양군,8119 ,3175763380 ,85 ,41571050 ,1867 ,389318190 ,12 ,78804770 
2022-07,전라남도,곡성군,5485 ,2006306800 ,48 ,18033600 ,1425 ,279476820 ,5 ,34533320 
2022-07,전라남도,구례군,4511 ,1651466160 ,46 ,18375570 ,1176 ,229667590 ,13 ,41145460 
2022-07,전라남도,고흥군,12391 ,4248399430 ,121 ,47270460 ,3730 ,746757400 ,29 ,119822280 
2022-07,전라남도,보성군,7218 ,2550187740 ,62 ,29821240 ,2057 ,415471310 ,13 ,55262790 
2022-07,전라남도,화순군,9811 ,3888599730 ,106 ,38551540 ,2562 ,532985130 ,10 ,53918280 
2022-07,전라남도,장흥군,6175 ,2122644210 ,55 ,22295010 ,1697 ,358456560 ,18 ,90713360 
2022-07,전라남도,강진군,6108 ,2220701510 ,47 ,22757810 ,1637 ,350879380 ,17 ,44737140 
2022-07,전라남도,해남군,10869 ,3859863500 ,111 ,43871150 ,3028 ,650649450 ,27 ,95816150 
2022-07,전라남도,영암군,7704 ,2878732080 ,77 ,37658120 ,2075 ,439063540 ,28 ,119849720 
2022-07,전라남도,무안군,9415 ,3534227330 ,127 ,71527030 ,2418 ,536275550 ,31 ,227095800 
2022-07,전라남도,함평군,6030 ,2172144880 ,69 ,24231980 ,1615 ,331218390 ,14 ,32582190 
2022-07,전라남도,영광군,7596 ,2750359110 ,78 ,40838160 ,2074 ,426953230 ,20 ,84608800 
2022-07,전라남도,장성군,7604 ,2914869990 ,65 ,35944320 ,1760 ,344764110 ,22 ,137604600 
2022-07,전라남도,완도군,7491 ,2595442200 ,63 ,30819060 ,2263 ,482428260 ,25 ,117550290 
2022-07,전라남도,진도군,4666 ,1612194510 ,39 ,16159270 ,1419 ,302241870 ,15 ,68164250 
2022-07,전라남도,신안군,7286 ,2619002450 ,49 ,35076740 ,2057 ,431248690 ,15 ,86507210 
2022-07,경상북도,포항시,57121 ,32347801190 ,786 ,407009270 ,11003 ,3110021430 ,153 ,646440040 
2022-07,경상북도,경주시,35208 ,16795363630 ,530 ,284166880 ,6759 ,1640805370 ,80 ,609107510 
2022-07,경상북도,김천시,18426 ,7876169360 ,225 ,116389250 ,3625 ,826383780 ,62 ,335411490 
2022-07,경상북도,안동시,19919 ,7956910840 ,260 ,130967040 ,4628 ,1063307140 ,33 ,153378560 
2022-07,경상북도,구미시,33634 ,17556310160 ,586 ,328510010 ,5891 ,1563624600 ,118 ,549775140 
2022-07,경상북도,영주시,14677 ,5666236460 ,178 ,102360050 ,3076 ,691648650 ,39 ,144992920 
2022-07,경상북도,영천시,16635 ,6810893010 ,197 ,78474870 ,3443 ,743633140 ,46 ,384397780 
2022-07,경상북도,상주시,16439 ,6346135040 ,174 ,67179320 ,4369 ,931992160 ,26 ,90816980 
2022-07,경상북도,문경시,11980 ,4934278640 ,140 ,51925040 ,2940 ,632760560 ,37 ,150683560 
2022-07,경상북도,경산시,28591 ,12755681020 ,378 ,205041000 ,5257 ,1315479290 ,89 ,516472060 
2022-07,경상북도,군위군,5260 ,2105472000 ,45 ,16173100 ,1115 ,241242150 ,17 ,97883430 
2022-07,경상북도,의성군,11444 ,4408648880 ,107 ,47459730 ,3075 ,675169800 ,17 ,110915870 
2022-07,경상북도,청송군,4912 ,1995368940 ,43 ,17500160 ,1177 ,267744840 ,8 ,47990180 
2022-07,경상북도,영양군,3019 ,1161455760 ,28 ,11115060 ,794 ,184342730 ,9 ,38215660 
2022-07,경상북도,영덕군,7039 ,2628556340 ,56 ,24515780 ,1923 ,402539910 ,20 ,112981050 
2022-07,경상북도,청도군,9247 ,3861930120 ,73 ,52371170 ,2185 ,489852910 ,19 ,128582300 
2022-07,경상북도,고령군,5714 ,2258144760 ,73 ,30985510 ,1278 ,284600660 ,25 ,178888180 
2022-07,경상북도,성주군,7920 ,3299776000 ,64 ,25613300 ,1668 ,375763570 ,26 ,126517670 
2022-07,경상북도,칠곡군,12028 ,5691346830 ,172 ,133537890 ,2343 ,590849610 ,49 ,373827520 
2022-07,경상북도,예천군,8658 ,3363544650 ,96 ,41121550 ,2391 ,515529490 ,16 ,61324990 
2022-07,경상북도,봉화군,6174 ,2496460690 ,66 ,36822500 ,1402 ,301757230 ,8 ,53074660 
2022-07,경상북도,울진군,7335 ,3035601330 ,70 ,28603340 ,1887 ,406103550 ,22 ,106663560 
2022-07,경상북도,울릉군,1255 ,539460460 ,10 ,28230820 ,251 ,60592040 ,4 ,4932040 
2022-07,경상남도,창원시,104702 ,57928253010 ,1602 ,859328780 ,17345 ,4964939790 ,307 ,1470716240 
2022-07,경상남도,진주시,33336 ,15038945080 ,553 ,272986550 ,6845 ,1715218300 ,94 ,475752560 
2022-07,경상남도,통영시,13784 ,5831183590 ,219 ,120129070 ,2975 ,731505700 ,57 ,253484420 
