이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
분당,37843 ,25181295370 ,38145 ,25471757620 ,38510 ,25785222830 ,38819 ,26060584690 ,39200 ,26425272300 ,39585 ,26831606530 ,39895 ,28588286300 ,39946 ,28952028500 ,40000 ,28664632660 ,40008 ,28707646990 ,40014 ,28738966870 ,39961 ,28706212470 
이천여주,33818 ,15923958450 ,34083 ,16076613510 ,34386 ,16272663950 ,34702 ,16501420510 ,35029 ,16738512900 ,35378 ,16968121190 ,35717 ,18089640280 ,35843 ,18251852360 ,35954 ,18193701500 ,36073 ,18318210180 ,36147 ,18399144310 ,36216 ,18438239730 
평택안성,62104 ,30287750860 ,62635 ,30739111700 ,63195 ,30968872920 ,63782 ,31469342720 ,64392 ,31868925660 ,65003 ,32367879910 ,65716 ,34589509530 ,65991 ,34878149260 ,66186 ,34804889550 ,66327 ,34965392770 ,66428 ,35127406960 ,66582 ,35232981450 
안산,50946 ,26794267000 ,51466 ,27215193270 ,52002 ,27457012980 ,52479 ,27890524460 ,53001 ,28294046000 ,53580 ,28726489550 ,54192 ,30772858490 ,54435 ,30979682160 ,54591 ,30890265570 ,54765 ,31054876970 ,54839 ,31165782750 ,54946 ,31267343050 
광명,28145 ,14020171620 ,28302 ,14133006510 ,28501 ,14274646850 ,28694 ,14421153230 ,28903 ,14576962210 ,29123 ,14753338800 ,29326 ,15708554950 ,29329 ,15811132880 ,29295 ,15659780280 ,29213 ,15731788080 ,29169 ,15688370020 ,29103 ,15676809100 
부천,77524 ,37943305450 ,78159 ,38462085830 ,78811 ,38786017360 ,79496 ,39252783600 ,80185 ,39781010150 ,80911 ,40302065400 ,81632 ,43017343950 ,81809 ,43358423370 ,82015 ,43234166120 ,82195 ,43312922680 ,82279 ,43385745430 ,82343 ,43486884900 
고양일산,47623 ,27184356660 ,48093 ,27626731390 ,48587 ,27847940700 ,49101 ,28315252060 ,49619 ,28775668000 ,50105 ,29175736090 ,50684 ,31213250780 ,50850 ,31614154690 ,51035 ,31468653300 ,51155 ,31557925080 ,51286 ,31689364890 ,51381 ,31838601090 
의정부,77427 ,34391485230 ,78139 ,34777754600 ,78855 ,35141224480 ,79612 ,35696270490 ,80345 ,36148043120 ,81064 ,36646920880 ,81919 ,39092353090 ,82234 ,39389556910 ,82575 ,39396777730 ,82931 ,39593299080 ,83173 ,39747957800 ,83542 ,39991539500 
구리양평,33963 ,16567514620 ,34212 ,16740758730 ,34449 ,16912479950 ,34745 ,17116885250 ,35078 ,17367782160 ,35381 ,17611889630 ,35766 ,18768026570 ,35943 ,18966688290 ,36085 ,18935277230 ,36231 ,19042787790 ,36339 ,19203582450 ,36419 ,19221785860 
처인기흥,85879 ,49705047390 ,86566 ,50382136060 ,87224 ,50721219200 ,88003 ,51542731480 ,88805 ,52014408900 ,89530 ,52596629800 ,60807 ,35266827600 ,61026 ,35673773090 ,61209 ,35542861990 ,61447 ,35638800110 ,61582 ,35796983860 ,61674 ,35873194290 
화성오산,68948 ,35499366260 ,69661 ,36104884310 ,70341 ,36377286590 ,71319 ,37095616970 ,72131 ,37709831090 ,72945 ,38309920620 ,73957 ,41105101970 ,74327 ,41541359310 ,74643 ,41533034250 ,75030 ,41808710150 ,75237 ,41972678440 ,75448 ,42135558940 
시흥,34185 ,16654609080 ,34562 ,16921172810 ,34973 ,17140685880 ,35394 ,17430482820 ,35855 ,17765636270 ,36298 ,18066198570 ,36775 ,19371552030 ,36990 ,19588349150 ,37173 ,19530218020 ,37296 ,19620104550 ,37432 ,19692113410 ,37510 ,19775469930 
군포의왕,40491 ,22698876430 ,40846 ,22967156560 ,41200 ,23256918430 ,41585 ,23483598640 ,41969 ,23827735670 ,42366 ,24132407700 ,42769 ,25808584640 ,42849 ,25867098860 ,42972 ,25851832000 ,43004 ,25951789550 ,43048 ,25961602400 ,43054 ,25992475990 
파주,38748 ,18296771930 ,39068 ,18519601740 ,39478 ,18730918110 ,39930 ,19042730850 ,40329 ,19321239550 ,40701 ,19589941620 ,41095 ,20891286960 ,41269 ,21037205520 ,41465 ,21076129310 ,41631 ,21148148320 ,41727 ,21256724540 ,41805 ,21275105190 
포천철원,22696 ,9735068550 ,22867 ,9881290510 ,23053 ,9988824580 ,23214 ,10080287440 ,23428 ,10198673890 ,23584 ,10279953210 ,23801 ,10990525790 ,23875 ,11070133280 ,23961 ,10984077930 ,23993 ,11025105710 ,23991 ,11054733350 ,24026 ,11083857550 
경기광주,34634 ,16584300240 ,35033 ,16830701250 ,35416 ,17064881560 ,35782 ,17307836770 ,36167 ,17503224080 ,36511 ,17729989090 ,36850 ,18942520320 ,36942 ,19049052390 ,37035 ,18957106710 ,37165 ,19053426200 ,37241 ,19121500080 ,37334 ,19167993750 
북수원,37798 ,19057943810 ,38249 ,19413717930 ,38739 ,19664655020 ,39196 ,20000447460 ,39610 ,20282568150 ,39990 ,20582208080 ,40388 ,22017345930 ,40516 ,22227307420 ,40615 ,22170069090 ,40692 ,22220860180 ,40730 ,22233834370 ,40824 ,22348042890 
고양덕양,41788 ,20393126550 ,42159 ,20653338910 ,42571 ,20873570160 ,43006 ,21185281290 ,43536 ,21536432940 ,44025 ,21898372370 ,44520 ,23386438110 ,44729 ,23568887910 ,44908 ,23612806810 ,45060 ,23772560030 ,45103 ,23806927100 ,45158 ,23865143070 
남양주,59778 ,27868653050 ,60260 ,28208047260 ,60883 ,28577734890 ,61415 ,28941976560 ,62020 ,29332305240 ,62486 ,29672205150 ,63086 ,31742905570 ,63240 ,31883951430 ,63402 ,31736840200 ,63548 ,31862238220 ,63623 ,31917013730 ,63649 ,31941679180 
